TITLE,死人にもち肌
DIRECTION,　　しの、似顔絵の背景に建物を書き加えている。
EMPTY,
DIALOGUE,しの　　　「永子さんと、課長ですよね？」
DIALOGUE,永子　　　「課長何被ってんの？」
DIALOGUE,しの　　　「え。」
EMPTY,
DIRECTION,　　永子、少し線を足して、課長が建物を被っているようにする。
DIRECTION_CONTINUED,　　電話が鳴る。
EMPTY,
DIALOGUE,永子　　　「さっきの人なんじゃないの？　怒ってるかもよ。」
DIALOGUE,しの　　　「（どうぞ）」
DIALOGUE,永子　　　「え～、また？（電話を取って）お電話有難うございます。マイナス30
DIALOGUE_CONTINUED,　　　　　　才肌、ココ・プルゲン、サポートセンターです。大変お待たせして申し
DIALOGUE_CONTINUED,　　　　　　訳ございませんでした。」
DIALOGUE,女２　　　「いえ、あの、待ってませんけど。」
DIALOGUE,永子　　　「あ、そうですか･･･」
DIALOGUE,女２　　　「あの、どこで買えますか？」
DIALOGUE,永子　　　「あ、初めての方には、売ってないんですよ。無料のお試しセットがあり
DIALOGUE_CONTINUED,　　　　　　ますんで、インターネットで申し込んでもらえます？」
EMPTY,
DIRECTION,　　電話、切れる。
EMPTY,
DIALOGUE,永子　　　「あ、切れた。え～!?」
DIALOGUE,しの　　　「なんか焦ってましたね、歳をとるという事に。」
DIALOGUE,永子　　　「うん。何かうちのクリーム、最近急に売れ出したよね。まあ、あたしは
DIALOGUE_CONTINUED,　　　　　　ずっと使ってるけど。」
EMPTY,
H1,シーン２
EMPTY,
DIRECTION,　　そこへ課長が、本田を連れてくる。
EMPTY,
DIALOGUE,永子　　　「あ、課長。」
DIALOGUE,課長　　　「（本田に）こちらが若月永子さんで、向こうが相原しのさんです。」
DIALOGUE,本田　　　「向こう？？」
DIALOGUE,永子　　　「課長、もう電話かかって来るんですけど。」
DIALOGUE,課長　　　「ええ？　だってまだ準備できてないからどこにも番号載せてないから、
DIALOGUE_CONTINUED,　　　　　　知ってるとしたらここの３人だけなんだけどな。」
EMPTY,
DIRECTION,　　と言いながら永子の肩とか首とか背中とかを触る。
EMPTY,
DIALOGUE,永子　　　「あたし番号知りませんけど。」
EMPTY,
DIRECTION,　　永子、課長から逃がれて代わりに本田を触らせる。
EMPTY,
DIALOGUE,しの　　　「私も、知りませんけど･･･」
DIALOGUE,課長　　　「そうか･･･。」
EMPTY,
DIRECTION,　　と考え込み、本田を触り続ける。
DIRECTION_CONTINUED,　　本田、小さくもだえ続ける。
DIRECTION_CONTINUED,　　永子としの、本田に注目する。
EMPTY,
DIALOGUE,永子　　　「え、なんで我慢してんの？」
DIALOGUE,課長　　　「あ、ごめんごめん、紹介するの忘れてた。えー、今日から新しく入った
DIALOGUE_CONTINUED,　　　　　　、（名前を忘れて）人です。えー、以前にサポートセンターの仕事をし
DIALOGUE_CONTINUED,　　　　　　てた経験が、まああるようなないような、まあそんな感じの、ね。質問
DIALOGUE_CONTINUED,　　　　　　ある人。」
DIALOGUE,永子　　　「これ電話鳴ったら、とりあえずお待ち下さいみたいな、何？　応答メッ
DIALOGUE_CONTINUED,　　　　　　セージ？　そういうのつけて欲しいんですけど。」
DIALOGUE,本田　　　「じゃあ私、それ、営業時間終わったらやっときますんで。」
DIALOGUE,永子　　　「えー、すぐやってもらった方が良いんじゃない？」
DIALOGUE,本田　　　「作業の間使えなくなっちゃいますんで、営業時間後の方が･･･。」
DIALOGUE,永子　　　「でもすぐやった方が良いんじゃないの？」
DIALOGUE,課長　　　「よし分かった、じゃあ今日はこれで営業時間、終わりにしよう。」
DIALOGUE,永子　　　「そうね。じゃああとよろしく。」
EMPTY,
DIRECTION,　　永子と課長、行こうとする。
EMPTY,
DIALOGUE,本田　　　「あ、ちょっと、私、名前名乗っても良いですか？」
DIALOGUE,課長　　　「良いけど、憶えないよ。」
DIALOGUE,本田　　　「名前は本田、ジェームズ・本田です。」
DIALOGUE,永子　　　「じゃお先。」
EMPTY,
DIRECTION,　　永子と課長、去る。
DIRECTION_CONTINUED,　　しのは気配を消して座っている。
DIRECTION_CONTINUED,　　本田はポーズを取っている。
DIRECTION_CONTINUED,　　タイトルバック。
EMPTY,
H1,シーン３
EMPTY,
DIRECTION,　　本田、二人が去ったのを確認して椅子に座る。
DIRECTION_CONTINUED,　　しのには気づかない。
DIRECTION_CONTINUED,　　鞄からタブレット端末を取り出し、操作する。
EMPTY,
DIALOGUE,端末　　　「おはよう、えっと･･･」
DIALOGUE,本田　　　「本田です。」
DIALOGUE,端末　　　「おはよう本田君。今回のミッションだが、アンチエイジング・クリーム
DIALOGUE_CONTINUED,　　　　　　『ココ・プルゲン』の原料と、その入手経路を調べてくれたまえ。
DIALOGUE_CONTINUED,　　　　　　原料は、表向きはキュウリという事になっており、当局で分析した結果
DIALOGUE_CONTINUED,　　　　　　、キュウリが検出された。ていうかキュウリしか検出されなかった。
DIALOGUE_CONTINUED,　　　　　　でもそれで私みたいに若返るのはおかしいので、何か秘密があるはずな
DIALOGUE_CONTINUED,　　　　　　ので、それを探ってください。」
DIALOGUE,本田　　　「あ、使ってるんだ。」
DIALOGUE,端末　　　「ちなみにこの端末なんですけど、ちょっと仕掛けがありまして、カメラ
DIALOGUE_CONTINUED,　　　　　　に映った人を画面上でタッチすると、その人を気絶させる事が出来ます
DIALOGUE_CONTINUED,　　　　　　。これ、エロい事には使わないようにしてください。」
DIALOGUE,本田　　　「いや、使いませんよ。」
DIALOGUE,端末　　　「前にね、エロい事に使った人がいるんですよ。でもさあ、それ普通に警
DIALOGUE_CONTINUED,　　　　　　察に捕まるからね。ほんと、それだけ気をつけて下さい。･･････
DIALOGUE_CONTINUED,　　　　　　くれぐれも。」
DIALOGUE,本田　　　「･･････あ、終わったのか。」
EMPTY,
DIRECTION,　　と言って端末と電話をつなぎ、応答メッセージの設定をする。
EMPTY,
DIALOGUE,電話　　　「お電話有難うございます。マイナス30才肌、ココ・プルゲン、サポー
DIALOGUE_CONTINUED,　　　　　　トセンターです。ただいま電話が大変混み合っております。順番にお繋
DIALOGUE_CONTINUED,　　　　　　ぎしておりますので、そのままお待ちいただくか、暫く経ってからおか
DIALOGUE_CONTINUED,　　　　　　け直しください。」
DIALOGUE,本田　　　「よし。」
EMPTY,
DIRECTION,　　と言って端末を鞄に仕舞う。
DIRECTION_CONTINUED,　　仕舞いながら、鞄の中の銃を確認する。
DIRECTION_CONTINUED,　　本田、立ち去る。
DIRECTION_CONTINUED,　　しのも少し間をおいて出て行く。
EMPTY,
H1,シーン４
EMPTY,
DIRECTION,　　次の日。
DIRECTION_CONTINUED,　　永子、しの、課長、本田の４人。
DIRECTION_CONTINUED,　　電話の応答メッセージを聞いている。
EMPTY,
DIALOGUE,永子　　　「え、これ留守電って事？」
DIALOGUE,本田　　　「いえ、ここが話し中の時は、ちゃんと交換機の方でもメッセージ流れる
DIALOGUE_CONTINUED,　　　　　　ようにしてもらってますんで。」
DIALOGUE,永子　　　「先に電話を増やすべきなんじゃないの？」
DIALOGUE,本田　　　「あとこれ、対応マニュアルの叩き台を作ってきたので、これを元に考え
DIALOGUE_CONTINUED,　　　　　　て行きましょう。」
DIALOGUE,課長　　　「もう出来てんじゃん。いいじゃんこれで。」
DIALOGUE,本田　　　「あと、サポートセンター内はプライバシーや私語は厳禁ですから。私物
DIALOGUE_CONTINUED,　　　　　　はロッカーに入れて来るようにしてください。」
DIALOGUE,永子　　　「先に電話を増やすべきなんじゃないの？」
DIALOGUE,本田　　　「それ、お願いしてありますよね？」
DIALOGUE,課長　　　「あれ、そうだっけ？　じゃあ俺、買ってくるわ。」
DIALOGUE,永子　　　「え？　電話買ってくるの？」
EMPTY,
DIRECTION,　　課長、行ってしまう。
DIRECTION_CONTINUED,　　永子それを目で追って、
EMPTY,
DIALOGUE,永子　　　「えー･･･。ああいうのって特別な電話なんじゃないの？」
EMPTY,
DIRECTION,　　と言いながら仮マニュアルを見たりする。
EMPTY,
H1,シーン５
EMPTY,
DIALOGUE,本田　　　「あの、若月さん、」
DIALOGUE,永子　　　「はい、あ、えっと･･･」
DIALOGUE,本田　　　「本田です。若月さん、いい香りがしますね。」
DIALOGUE,永子　　　「え。キュウリ臭いって言われるんだけど。」
DIALOGUE,本田　　　「私はこの匂い、好きですよ。」
DIALOGUE,永子　　　「カブトムシ、飼ってたでしょ？」
DIALOGUE,本田　　　「ココ・プルゲン、使ってるんですか？　これ、社員割引とかあるんでし
DIALOGUE_CONTINUED,　　　　　　ょうか。」
DIALOGUE,永子　　　「え、欲しいの？　これ最初お試しセットで適性とか見ないといけないか
DIALOGUE_CONTINUED,　　　　　　ら結構面倒だよ。ああ、あたし訪問販売やってたから、後で見てあげよ
DIALOGUE_CONTINUED,　　　　　　うか。」
DIALOGUE,本田　　　「本当ですか。有難うございます。」
EMPTY,
DIRECTION,　　本田、永子の手を取り、
EMPTY,
DIALOGUE,本田　　　「若月さんは美しいだけでなく、優しい方なんですね。」
DIALOGUE,永子　　　「いやだ、そんな･･･。永子って呼んでください。」
DIALOGUE,しの　　　「永子さん、モテモテですね。」
EMPTY,
DIRECTION,　　本田、とても驚く。
EMPTY,
DIALOGUE,本田　　　「うわっ、だ、誰だ！」
DIALOGUE,永子　　　「あ、おばさん時々気配消すから、気ぃつけて。」
DIALOGUE,しの　　　「いいんですか？　課長また怒って備品のボールペン全部折ったり」
DIALOGUE,永子　　　「課長とは何でもありません。」
DIALOGUE,しの　　　「でもホテル、行ったんですよね。」
DIALOGUE,本田　　　「え。」
DIALOGUE,永子　　　「おばさんだって課長に体触らせてたじゃん。」
DIALOGUE,本田　　　「どうなってるんだ、この会社は。」
DIALOGUE,永子　　　「ね。ま課長が悪いんだけどね。あいつただのプチ・セクハラ親父だから
DIALOGUE_CONTINUED,　　　　　　さ。」
DIALOGUE,本田　　　「いやしかし、ホテルとなると･･･」
EMPTY,
DIRECTION,　　電話に着信があり、応答メッセージが流れる。
DIRECTION_CONTINUED,　　永子それを無視して、
EMPTY,
DIALOGUE,永子　　　「分かりました。じゃあちゃんとお話しします。
DIALOGUE_CONTINUED,　　　　　　たしかにホテルには行きました。でもビジネスホテルだしちょっと一緒
DIALOGUE_CONTINUED,　　　　　　に飲んだりしただけです。いかがわしい事は何もしてません。」
DIALOGUE,しの　　　「あ、でももう、想像しちゃいましたけど。」
DIALOGUE,永子　　　「ええ～っ？　したの、想像？　あたしと課長の、そういうの？　もうや
DIALOGUE_CONTINUED,　　　　　　めてよ～。忘れて。想像した事忘れて。（本田にも）忘れて。想像した
DIALOGUE_CONTINUED,　　　　　　事忘れて。」
DIALOGUE,本田　　　「わ、私は別に」
DIALOGUE,永子　　　「（観客にも）忘れて。想像した事忘れて。
DIALOGUE_CONTINUED,　　　　　　･･･あと、課長の事も別に好きじゃありません。ちょっと課長に頼み
DIALOGUE_CONTINUED,　　　　　　ごとしたから、仕方なく付き合ったの。
DIALOGUE_CONTINUED,　　　　　　･･･もういいでしょ？　出るよ電話。」
DIALOGUE,しの　　　「頼みごとって、何なんですか？」
DIALOGUE,永子　　　「はぁ･･･。ココ・プルゲンの、『原液』。」
DIALOGUE,本田　　　「原液･･･？」
DIALOGUE,永子　　　「薄める前のやつ、手に入るっていうからさ。」
DIALOGUE,本田　　　「そ、そんな物があるのか！」
DIALOGUE,しの　　　「電話、出た方が良いんじゃないですか？」
DIALOGUE,永子　　　「ああ･･･、えっと･･･」
EMPTY,
DIRECTION,　　永子、仮マニュアルを見ながら電話を取る。
EMPTY,
DIALOGUE,永子　　　「大変お待たせして申し訳ございませんでした。ココ・プルゲン、サポー
DIALOGUE_CONTINUED,　　　　　　トセンターの若月です。」
DIALOGUE,光子　　　「･･･若月、永子さん、ですか？」
DIALOGUE,永子　　　「え？　えっと、あの･･･。（仮マニュアルを見て）このお電話なんで
DIALOGUE_CONTINUED,　　　　　　すけど、社員教育のために録音させて頂いておりますので、予めご了承
DIALOGUE_CONTINUED,　　　　　　ください。よろしいでしょうか。」
DIALOGUE,光子　　　「はい、いいですよ。･･･こっちも、録音してますんで。」
DIALOGUE,永子　　　「え？　･･･どちら様、ですか･･･。」
DIALOGUE,光子　　　「私、興信所に頼んで、写真も撮ってもらったんですけど、でももしかし
DIALOGUE_CONTINUED,　　　　　　たらこれホテルじゃなくて主人が何か被ってるだけなんじゃないかと思
DIALOGUE_CONTINUED,　　　　　　いましてね、」
DIALOGUE,しの　　　「あ、それ、ホテルです。」
EMPTY,
DIRECTION,　　永子、電話を切る。
EMPTY,
DIALOGUE,永子　　　「ちょっとおばさん、」
DIALOGUE,しの　　　「あ、違います違います。違います。その、被ってるのがホテルですって
DIALOGUE_CONTINUED,　　　　　　、言っただけなんで。」
DIALOGUE,永子　　　「そういや課長どこ行ったの、課長。」
DIALOGUE,しの　　　「課長は、電話を買いに行くふりして、サボってます。」
DIALOGUE,永子　　　「あの人、奥さんにここの番号教えてんじゃん。」
DIALOGUE,しの　　　「う～ん、そうすると今までの人たちも課長が教えてたのかも知れません
DIALOGUE_CONTINUED,　　　　　　ねぇ～。」
DIALOGUE,本田　　　「あの、今そこが問題なんでしょうか。」
DIALOGUE,永子　　　「あ、そうだ。これ、録音してるならしてるって言ってよ。」
DIALOGUE,本田　　　「いやそれ叩き台ですから。録音はまだしてないです。」
DIALOGUE,しの　　　「向こうでしてくれてたみたいですよ。」
DIALOGUE,永子　　　「もしかしてこれ何かすごい面倒くさい事になってんじゃないの？」
DIALOGUE,本田　　　「ですよね、そこですよね問題は。」
DIALOGUE,永子　　　「あーもう、アンパンマンの頭をどうにかしてやりたい。」
DIALOGUE,本田　　　「･･･私は、永子さんを信じます。永子さんがそんな、不倫なんかする
DIALOGUE_CONTINUED,　　　　　　ような人とは思えません。」
DIALOGUE,永子　　　「本田さん･･･。」
DIALOGUE,本田　　　「ジェームズ・本田です。一緒に、お茶を飲んだだけなんですよね。ココ
DIALOGUE_CONTINUED,　　　　　　・プルゲンの原液が手に入ると言われたら、断れる人なんていませんよ
DIALOGUE_CONTINUED,　　　　　　。」
DIALOGUE,永子　　　「ですよね。分かってもらえて、永子嬉しいです。」
DIALOGUE,本田　　　「もし争い事になった場合は、私が必ず永子さんを守りますから。ところ
DIALOGUE_CONTINUED,　　　　　　で、その原液というのは、本当に手に入るんですか？」
DIALOGUE,永子　　　「課長、探しに行きましょう。」
DIALOGUE,本田　　　「はい。あ、じゃあついでにランチでもどうですか？」
DIALOGUE,永子　　　「そうね。おばさん電話お願い。」
DIALOGUE,しの　　　「え、私ですか。」
DIALOGUE,永子　　　「だって今まで全部あたしが出てんじゃん。」
DIALOGUE,しの　　　「果たしてそうでしょうか･･･。」
EMPTY,
DIRECTION,　　二人、そそくさと出かける。
DIRECTION_CONTINUED,　　本田は鞄を持って行く。
EMPTY,
DIALOGUE,本田　　　「おばさんという、お名前なんですか？」
DIALOGUE,永子　　　「違うよ。子供の頃のあだ名が『おばさん』だったんだって。」
DIALOGUE,本田　　　「へえ～、そうなんですか。･･･え、そうなんですか!?」
EMPTY,
DIRECTION,　　二人、去る。
EMPTY,
H1,シーン６
EMPTY,
DIRECTION,　　開発部。
DIRECTION_CONTINUED,　　課長と御堂。
DIRECTION_CONTINUED,　　巨大なコンピュータがあるという設定。
EMPTY,
DIALOGUE,課長　　　「しかしうちに、こんなでっかいコンピュータが、あったんですねぇ。」
DIALOGUE,御堂　　　「分析、してんの、原料の。」
DIALOGUE,課長　　　「ああ。･･･あれ、御堂さんも原料分かってないんすか？」
DIALOGUE,御堂　　　「まあ大体分かってんだけどね。」
DIALOGUE,課長　　　「でも原液って事は、何かで薄めてるんすよね？」
DIALOGUE,御堂　　　「匂いで分かんでしょ？」
DIALOGUE,課長　　　「え、匂いって･･･。」
DIALOGUE,御堂　　　「ほら、この匂い。嗅いで、ほら、ちゃんと。」
DIALOGUE,課長　　　「キュウリ、ですよね･･･。」
DIALOGUE,御堂　　　「何知ってましたみたいな顔してんの。」
DIALOGUE,課長　　　「いや、だって。」
DIALOGUE,御堂　　　「そ。キュウリで、薄めてんの。五億倍に。」
DIALOGUE,課長　　　「五億倍ってそれもうキュウリですよね。ていうか、じゃあ、原液ってす
DIALOGUE_CONTINUED,　　　　　　ごいんすね。」
DIALOGUE,御堂　　　「うん、すっごい。」
DIALOGUE,課長　　　「もらえるんですよね。」
DIALOGUE,御堂　　　「うん、もうね、原液はね、ほんと、すっごい。」
DIALOGUE,課長　　　「御堂さん、ここにあるやつ、もらってっていいんすよね。」
DIALOGUE,御堂　　　「あ、それ駄目。使えない。」
DIALOGUE,課長　　　「使えない？」
DIALOGUE,御堂　　　「分析すんのに、放射線とかレーザーとかぐりぐり当てまくってっから。
DIALOGUE_CONTINUED,　　　　　　」
DIALOGUE,課長　　　「そっか、使えなくなっちゃうんだ･･･。」
DIALOGUE,御堂　　　「フフ、笑っちゃうでしょ。五億倍に薄めて、何万って値段で売ってる物
DIALOGUE_CONTINUED,　　　　　　を、毎日捨ててんの。」
DIALOGUE,課長　　　「へえ～･･･。でも、分析する前のもあるんすよね。」
DIALOGUE,御堂　　　「赤木課長、欲しがりすぎ。」
DIALOGUE,課長　　　「一応、そういう話で、ここへ来ております。」
DIALOGUE,御堂　　　「赤木課長、やってんでしょ。」
DIALOGUE,課長　　　「何をですか。」
DIALOGUE,御堂　　　「課の女の子に、ちょっかい出してんじゃないの？」
DIALOGUE,課長　　　「いや～、ははは。」
DIALOGUE,御堂　　　「私には？　やんないの？」
DIALOGUE,課長　　　「え。」
DIALOGUE,御堂　　　「私には、セクハラとか不倫とか、やんないのって、聞いてんの。」
DIALOGUE,課長　　　「･･･あのー、それは、もしかして、」
DIALOGUE,御堂　　　「ま、私の旦那の名前、ブルータスって言うんだけどね。」
DIALOGUE,課長　　　「あの、御堂さん、ブルータスは、苗字ですよね･･･。」
DIALOGUE,御堂　　　「もう帰る？」
DIALOGUE,課長　　　「いえ、あの、原液を下さい。」
DIALOGUE,御堂　　　「原液っつったって、キュウリなんだけどね。」
DIALOGUE,課長　　　「じゃあ、全部キュウリなんですね。」
DIALOGUE,御堂　　　「コンコンブルって言って、まあキュウリの突然変異なんだわ。ここでは
DIALOGUE_CONTINUED,　　　　　　その突然変異を、人工的に作ろうとしてんの。
DIALOGUE_CONTINUED,　　　　　　そういう複雑系のシミュレーションが出来んのよ、このコンピュータ。
DIALOGUE_CONTINUED,　　　　　　」
DIALOGUE,課長　　　「複雑系っすか･･･。」
DIALOGUE,御堂　　　「ああ、モテ期とか予測できるかも。」
DIALOGUE,課長　　　「え、モテ期？」
DIALOGUE,御堂　　　「モテ期ってあれ、突然変異だから。」
DIALOGUE,課長　　　「マジっすか。」
DIALOGUE,御堂　　　「うん、マジマジ。」
DIALOGUE,課長　　　「ちょっと、どうやるんすか。教えて下さいよ。」
DIALOGUE,御堂　　　「これ人工知能だから、もうぐりぐりデータ入れてきゃいいの。学習すっ
DIALOGUE_CONTINUED,　　　　　　から。」
DIALOGUE,課長　　　「マジっすか～～。」
DIALOGUE,御堂　　　「とりあえず、はい。」
EMPTY,
DIRECTION,　　といって課長に小瓶を渡す。
EMPTY,
DIALOGUE,課長　　　「マジっすか～～。」
EMPTY,
H1,シーン７
EMPTY,
DIRECTION,　　サポート部の部屋。
DIRECTION_CONTINUED,　　しのがマニュアルを読んでいる。
DIRECTION_CONTINUED,　　そこへ永子と本田が戻ってくる。
EMPTY,
DIALOGUE,永子　　　「電話あった？」
DIALOGUE,しの　　　「いえ･･･。」
DIALOGUE,永子　　　「もうないかもね。課長ね、奥さん入れて３人しか番号教えてないって。
DIALOGUE_CONTINUED,　　　　　　」
DIALOGUE,しの　　　「奥さんからは、またかかってくるかも･･･。」
DIALOGUE,永子　　　「ていうか何であたしたち、奥さん専用のホットラインに３人がかりで待
DIALOGUE_CONTINUED,　　　　　　機してんの？」
DIALOGUE,しの　　　「じゃあ、どうしましょうか･･･。」
DIALOGUE,永子　　　「おばさんランチは？」
DIALOGUE,しの　　　「お昼になったら、行きますけど。」
DIALOGUE,永子　　　「あそっか、あたしたち早く行き過ぎちゃった。じゃあ、お昼になったら
DIALOGUE_CONTINUED,　　　　　　もう一回行く？」
DIALOGUE,本田　　　「うわー、自由な、社風ですねー。」
DIALOGUE,永子　　　「さっき食べたハンバーグが７６１キロカロリーで、小ライスが２２０キ
DIALOGUE_CONTINUED,　　　　　　ロカロリーだから、足して９８１キロカロリーでしょ。サプリで吸収を
DIALOGUE_CONTINUED,　　　　　　15％抑えてるから０・８５かけて８３３・８５キロカロリーか。朝が
DIALOGUE_CONTINUED,　　　　　　３２２キロカロリーだから、えっと、あと３４４・１５キロカロリーま
DIALOGUE_CONTINUED,　　　　　　で大丈夫で、サプリで抑える分も考えると、あと４０４・８８２キロカ
DIALOGUE_CONTINUED,　　　　　　ロリー。晩ごはんも入れてだけど。」
EMPTY,
DIRECTION,　　と言いながら、小瓶を取り出してフタを開ける。
EMPTY,
DIALOGUE,本田　　　「あっ！」
DIALOGUE,永子　　　「え？」
DIALOGUE,本田　　　「あ、気をつけないと。それ原液、ですよね。」
DIALOGUE,永子　　　「う～ん、でも匂い同じだし、そんなに濃いって訳でもないんじゃない？
DIALOGUE_CONTINUED,　　　　　　」
EMPTY,
DIRECTION,　　永子、原液を顔にぺたぺたと塗る。
DIRECTION_CONTINUED,　　それを見て
EMPTY,
DIALOGUE,本田　　　「うわ～･･･。」
DIALOGUE,永子　　　「ん？」
DIALOGUE,本田　　　「いや、えっと･･･、それ以上、綺麗にならなくても･･･。」
DIALOGUE,永子　　　「（笑って）ほれ。（本田に塗ろうとする）」
DIALOGUE,本田　　　「うわ、危ない！（避けるが、少し付く）」
DIALOGUE,永子　　　「大丈夫よ、適性検査してないからって、死にゃしないって。」
DIALOGUE,本田　　　「じゃ、じゃあ、とりあえず私たちは、マニュアルの見直しでもしていま
DIALOGUE_CONTINUED,　　　　　　しょうか。」
DIALOGUE,しの　　　「課長には、会ったんですよね？」
DIALOGUE,本田　　　「ええ、電話の件を聞いたら、今から買いに行くって言ってましたね。」
DIALOGUE,永子　　　「今まで何やってたんだろうね。」
DIALOGUE,しの　　　「どこで、会ったんですか？」
DIALOGUE,永子　　　「地下のトイレの前。」
DIALOGUE,しの　　　「じゃあ開発部の近くですね。」
DIALOGUE,永子　　　「そうだね。」
DIALOGUE,本田　　　「開発部？　えっと、ちょっと待って下さい。開発は工場にしかないんじ
DIALOGUE_CONTINUED,　　　　　　ゃありませんでしたっけ？」
DIALOGUE,永子　　　「ああ、クリームの開発じゃなくて、何かコンピュータでね、何かしてる
DIALOGUE_CONTINUED,　　　　　　みたい。最近できたの。」
DIALOGUE,本田　　　「へえ～、そうなんですか。あそうだ、済みません、私、課長に用事があ
